@RELATION all_data_processed_new_ToBeTestedOnModelLR

@ATTRIBUTE popularity REAL
@ATTRIBUTE genre {Hip-Hop,country,electronic,folk,funk,indie,pop,rap,rnb,rock,soul}
@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key {0,1,2,3,4,5,6,7,8,9,10,11}
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode {0,1}
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature {3,4,5}
@ATTRIBUTE word_count REAL
@ATTRIBUTE reading_ease REAL
@ATTRIBUTE polarity REAL
@ATTRIBUTE subjectivity REAL
@ATTRIBUTE is_winner {0}
@ATTRIBUTE is_nominee {0,1}

@DATA
74,Hip-Hop,0.726,0.607,2,-7.68,1,0.0498,0.0389,0,0.19,0.899,81.997,176744,4,500,96.18,0.020500928,0.455912183,0,0
77,pop,0.778,0.741,10,-4.97,0,0.0484,0.0538,2.04E-06,0.29,0.363,102.95,219306,4,?,?,?,?,0,0
22,folk,0.4,0.292,2,-7.776,1,0.0343,0.736,0,0.151,0.286,205.252,188804,4,280,100.24,?,?,0,0
74,pop,0.551,0.719,11,-5.631,1,0.0416,0.0869,0,0.219,0.456,158.08,243707,4,402,97.2,0.113502506,0.424759816,0,0
75,country,0.749,0.854,8,-5.245,1,0.0503,0.129,0,0.0262,0.841,103.952,190240,4,336,86.71,?,?,0,0
72,soul,0.473,0.192,4,-10.979,1,0.0417,0.922,0,0.106,0.325,125.152,219536,4,202,97.2,0.178759398,0.46355472,0,0
76,soul,0.453,0.496,5,-5.785,1,0.0453,0.554,2.65E-05,0.0772,0.495,80.994,239317,4,239,98.21,-0.097530864,0.821604938,0,0
70,pop,0.616,0.778,7,-4.927,0,0.0387,0.0545,0,0.142,0.642,83.065,227360,4,421,99.23,0.029080867,0.327016302,0,0
4,pop,0.601,0.35,5,-13.829,0,0.0619,0.233,9.41E-06,0.113,0.119,88.952,223054,4,?,?,?,?,0,0
82,pop,0.733,0.745,10,-6.605,0,0.0961,0.0187,0,0.0476,0.745,74.986,206880,4,391,98.21,?,?,0,0
82,pop,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48E-05,0.146,0.51,130.075,257200,4,256,88.74,?,?,0,0
73,Hip-Hop,0.825,0.77,8,-8.508,1,0.134,0.265,0,0.334,0.964,139.982,185131,4,408,116.15,0.755208333,0.5,0,0
88,electronic,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21E-06,0.0789,0.191,139.432,250286,4,?,?,?,?,0,0
66,pop,0.608,0.56,8,-6.858,1,0.0406,0.396,1.37E-06,0.121,0.489,139.979,231845,4,388,97.2,?,?,0,0
36,pop,0.791,0.141,7,-19.985,1,0.114,0.808,0.875,0.0748,0.752,94.968,227519,4,372,94.15,-0.018926636,0.253697251,0,0
42,pop,0.754,0.232,10,-19.885,1,0.118,0.921,0.915,0.0968,0.95,95.986,235052,4,504,99.23,?,?,0,1
5,Hip-Hop,0.457,0.644,2,-5.582,1,0.0881,8.77E-05,0.902,0.105,0.136,170.01,214588,4,?,?,?,?,0,0
74,pop,0.736,0.767,4,-5.489,0,0.034,0.105,0,0.0803,0.104,119.996,238427,4,396,100.24,0.196941856,0.619013112,0,0
77,rnb,0.733,0.408,7,-7.834,0,0.0388,0.679,3.92E-05,0.11,0.291,94.947,197854,4,282,96.18,-0.078395062,0.332098765,0,0
74,Hip-Hop,0.779,0.472,11,-7.116,1,0.218,0.0577,0,0.114,0.4,135.051,142212,4,338,98.21,0.025462963,0.445833333,0,0
18,Hip-Hop,0.626,0.613,4,-9.029,1,0.205,0.691,1.14E-06,0.117,0.809,113.852,235192,4,?,?,?,?,0,0
78,indie,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.5,101.654,204280,4,342,88.74,-0.004157648,0.388356782,0,0
82,pop,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,199080,4,342,106.67,0.015625,0.095907738,0,0
88,rnb,0.356,0.567,0,-7.011,0,0.0798,0.0861,0,0.137,0.116,135.553,242253,5,497,97.2,-0.051078582,0.631598063,0,0
74,pop,0.664,0.371,2,-5.959,0,0.0306,0.404,0,0.0971,0.449,119.95,252227,3,?,?,?,?,0,0
90,pop,0.702,0.77,9,-5.416,0,0.0482,0.124,0,0.103,0.591,107.951,213520,4,?,?,?,?,0,1
85,Hip-Hop,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03E-06,0.0649,0.266,80.025,229526,4,?,?,?,?,0,0
77,indie,0.4,0.868,11,-5.988,0,0.203,0.0112,0.0685,0.27,0.567,180.261,195199,4,139,75.88,0.193181818,0.538636364,0,0
