song,artist,word_count,reading_ease,polarity,subjectivity
Exodus,Ferrante and Teicher,126,113.1,0.421768707483,0.76768707483
On The Rebound,Floyd Cramer,1,?,0.0,0.0
San Antonio Rose,Floyd Cramer,1,?,0.0,0.0
More Money For You And Me Medley,Four Preps,468,100.24,0.019246031746,0.421825396825
The Second Time Around,Frank Sinatra ,89,89.75,0.304411764706,0.423529411765
School Is Out,"Gary ""U.S."" Bonds",?,?,?,?
Quarter To Three,"Gary ""U.S."" Bonds",?,?,?,?
A Hundred Pounds Of Clay,Gene Mcdaniels,220,99.23,-0.0464285714286,0.230952380952
Michael,Highwaymen,155,64.37,-0.205555555556,0.505555555556
It's Gonna Work Out Fine,Ike and Tina Turner,?,?,?,?
Big Bad John,Jimmy Dean,354,96.18,-0.0690659474934,0.293055264628
My True Story,Jive Five,186,108.7,0.633333333333,0.733333333333
Without You,Johnny Tillotson,137,95.17,0.45625,0.65625
Apache,Jorgen Ingmann,2,?,0.0,0.0
Asia Minor,Kokomo,2,?,0.0,0.0
Calcutta,Lawrence Welk,2,?,0.0,0.0
Ya Ya,Lee Dorsey,211,100.24,0.395,0.66
The Way You Look Tonight,Lettermen,105,99.23,0.27,0.515
Don't Bet Money Honey,Linda Scott,180,98.21,?,?
I've Told Every Little Star,Linda Scott,71,100.24,0.2325,0.57
Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight),Lonnie Donegan,?,?,?,?
Blue Moon,Marcels,109,98.21,0.283333333333,0.466666666667
Last Night,Mar-Keys,2,?,0.0,0.0
Don't Worry,Marty Robbins,128,96.18,0.3775,0.5575
My Kind Of Girl,Matt Monroe,?,?,?,?
Shop Around,Miracles,340,97.2,0.323469387755,0.649433106576
Calendar Girl,Neil Sedaka,279,80.28,0.340590277778,0.537222222222
I Love How You Love Me,Paris Sisters,159,96.18,0.5,0.588461538462
Moody River,Pat Boone,131,86.71,0.112396694215,0.536363636364
I Fall To Pieces,Patsy Cline,82,99.23,0.0,1.0
"Tonight My Love, Tonight",Paul Anka,152,98.21,0.393928571429,0.524642857143
One Mint Julep,Ray Charles,192,95.17,-0.011525974026,0.456655844156
Hit The Road Jack,Ray Charles,272,104.64,-0.16222826087,0.341032608696
Missing You,Ray Peterson,127,108.7,0.464285714286,0.589285714286
Travelin' Man,Ricky Nelson,178,99.23,0.086378968254,0.528293650794
Hello Mary Lou,Ricky Nelson,171,99.23,0.333766233766,0.512337662338
Angel Baby,Rosie and The Originals,107,87.72,0.363888888889,0.558703703704
Cryin',Roy Orbison,142,106.67,-0.0272045855379,0.515917107584
Running Scared,Roy Orbison,86,91.78,-0.0285714285714,0.512698412698
Daddy's Home,Shep and The Limelites,?,?,?,?
Will You Love Me Tomorrow,Shirelles,130,90.77,0.358333333333,0.613271604938
Dedicated To The One I Love,Shirelles,148,88.74,0.159444444444,0.568888888889
Mama Said,Shirelles,243,90.77,0.0173611111111,0.4125
(Up a) Lazy River,Si Zentner,?,?,?,?
Portrait Of My Love,Steve Lawrence,97,97.2,0.333333333333,0.433333333333
Wheels,String-a-longs,2,?,0.0,0.0
Sad Movies (Make Me Cry),Sue Thompson,365,97.2,-0.146307798482,0.60707384403
Hurt,Timi Yuro,82,107.69,0.261544011544,0.499062049062
Bless You,Tony Orlando,163,88.74,0.363888888889,0.688888888889
This Time,Troy Shondell,86,91.78,0.0429292929293,0.388888888889
Tuff,Ace Cannon,176,104.64,-0.0466934850863,0.604222265829
I Know,Barbara George,206,97.2,-0.0608007733008,0.502482702483
You'll Lose A Good Thing,Barbara Lynn,1,?,0.0,0.0
Surfin' Safari,Beach Boys,294,72.83,0.175,0.575
Alley Cat,Bent Fabric,273,107.69,0.047619047619,0.405952380952
Percolator (Twist),Billy Joe and The Checkmates,11,78.25,0.0,0.0
A Swingin' Safari,Billy Vaughn,2,?,0.0,0.0
Things,Bobby Darin,280,96.18,0.108571428571,0.496428571429
I'll Never Dance Again,Bobby Rydell,154,93.14,0.35,0.65
Roses Are Red (My Love),Bobby Vinton,187,101.26,0.215523989899,0.39845959596
Green Onions,Booker T and The MG's,332,86.71,0.208008658009,0.402932900433
Break It To Me Gently,Brenda Lee,120,94.15,0.135846560847,0.537566137566
Everybody Loves Me But You,Brenda Lee,127,98.21,-0.0590909090909,0.618181818182
Sealed With A Kiss,Brian Hyland,142,90.77,-0.05,0.7
Hey! Baby,Bruce Channel,154,104.64,0.277777777778,0.672222222222
Funny Way Of Laughin',Burl Ives,250,98.21,0.294158496732,0.774346405229
A Little Bitty Tear,Burl Ives,224,106.67,-0.0915598290598,0.359829059829
Let's Dance,Chris Montez,195,99.23,0.14387755102,0.30306122449
Slow Twistin',Chubby Checker,288,91.78,0.165789473684,0.465789473684
