Gerry and The Pacemakers
Ventures
Dave Clark Five
"Robert Maxwell, His Harp and Orch."
Gene Simmons
Jimmy Hughes
Beatles
Andy Williams
Billy J. Kramer and The Dakotas
Bobby Vinton
Kingsmen
Searchers
Sam The Sham and The Pharaohs
Four Tops
Rolling Stones
We Five
Righteous Brothers
Petula Clark
Beatles
Herman's Hermits
Elvis Presley
Temptations
Beach Boys
Roger Miller
Jewel Aikens
Mel Carter
Jr. Walker and The All Stars
Sonny and Cher
Gary Lewis and The Playboys
Ramsey Lewis Trio
Herman's Hermits
Supremes
Righteous Brothers
Herman's Hermits
Seekers
Jay and The Americans
Byrds
Sounds Orchestral
Barbara Mason
Tom Jones
Barry McGuire
McCoys
Beatles
Bert Kaempfert and His Orch.
James Brown and The Famous Flames
Wayne Fontana and The Mindbenders
Shirley Ellis
Petula Clark
Supremes
Barbara Lewis
Kingsmen
Patti Page
Bob Dylan
Freddie and The Dreamers
Gerry and The Pacemakers
Righteous Brothers
Johnny Rivers
Herman's Hermits
Horst Jankowski
Yardbirds
Beach Boys
Moody Blues
Shirley Bassey
Billy Joe Royal
Glenn Yarbrough
Dave Clark Five
Beatles
Beau Brummels
Ian Whitcomb
Marvin Gaye
Gary Lewis and The Playboys
Kinks
Gary Lewis and The Playboys
Kinks
Jackie DeShannon
Tom Jones
Sir Douglas Quintet
Sam Cooke
Herman's Hermits
Martha and The Vandellas
Yardbirds
Searchers
Dickle Lee
Sonny and Cher
Turtles
Zombies
Peter and Gordon
Vic Dana
Patty Duke
Miracles
Brenda Lee
Dave Clark Five
Bobby Goldsboro
Peter and Gordon
Four Tops
Fortunes
Joe Tex
Animals
Beau Brummels
Rolling Stones
Lovin' Spoonful
Cher
Little Anthony and The Imperials
Strangeloves
Miracles
Sonny
Roy Head
Jack Jones
"Dino, Desi and Billy"
Ad Libs
Del Shannon
Marvin Gaye
Sgt. Barry Sadler
Association
Righteous Brothers
Four Tops
? and The Mysterians
Monkees
Mama's and The Papa's
Supremes
Johnny Rivers
Mama's and The Papa's
Lovin' Spoonful
Roger Williams
Nancy Sinatra
Jimmy Ruffin
Frank Sinatra
Beatles
Young Rascals
New Vaudeville Band
Tommy James and The Shondells
Percy Sledge
Rolling Stones
Petula Clark
Lou Christie
Troggs
Paul Revere and The Raiders
Donovan
Bobby Hebb
Beatles
Happenings
Supremes
Sam The Sham and The Pharaohs
Mitch Ryder and The Detroit Wheels
Beach Boys
Mindbenders
Dusty Springfield
Capitols
Sandy Posey
Cyrkle
Carla Thomas
Left Banke
Lovin' Spoonful
Outsiders
Tommy Roe
Tommy Roe
Hollies
James and Bobby Purify
B.J. Thomas and The Triumphs
Temptations
Standells
Bob Lind
Simon and Garfunkel
Ray Charles
Johnny Rivers
Simon and Garfunkel
Peter and Gordon
Simon and Garfunkel
Lovin' Spoonful
Robert Parker
Stevie Wonder
Cher
Beach Boys
Rolling Stones
Surfaris
Count Five
Temptations
T-Bones
Paul Revere and The Raiders
Deon Jackson
Crispian St. Peters
Brenda Lee
Ray Conniff and The Singers
David Houston
Bobby Darin
