title,spotify_id,artist,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Liechtensteiner Polka,6d96tUjNShhIi21LYHHG6s,Ed Townsend,1958,8,0.49,0.382,0,-14.064,1,0.0336,0.583,0.293,0.305,0.66,119.472,153907,4
I Got Stung,0IDFXLMABcj61OKI3L05A0,Paul Anka,1958,32,0.731,0.832,10,-10.336,0,0.054,0.901,0.53,0.219,0.975,96.557,109413,4
Are You Sincere,6dcMLXCuvDP0bj9eYvvBOw,Art and Dotty Todd,1958,19,0.387,0.16,0,-15.351,1,0.0292,0.939,0.365,0.301,0.406,71.913,120333,4
I Got a Feeling,3l4T7AFm7UPNGd04xynUhE,Lou Monte,1958,26,0.596,0.716,9,-5.967,0,0.0426,0.137,0,0.63,0.853,145.98,173427,4
Born Too Late,5dLF41mBaC8ELD3YtXgXEP,Johnny Cash,1958,49,0.636,0.778,5,-5.152,1,0.0297,0.111,1.53e-06,0.0723,0.952,100.219,281187,4
Willie and the Hand Jive,4ToAe9XCKjFGin2Qfswwis,Pat Boone,1958,33,0.778,0.814,6,-8.97,1,0.14,0.0989,8.07e-06,0.18,0.922,98.857,154733,4
Big Man,731Pa6Gt7GAdADATMSEL0N,Jimmy McCracklin,1958,70,0.677,0.579,8,-6.665,0,0.16,0.773,0,0.11,0.318,157.967,254627,4
Oh Boy,1rLl5GAkjPXVbG2B8MrZAi,Perry Como,1958,63,0.732,0.557,8,-7.221,1,0.0628,0.0012,0,0.265,0.526,144.967,202257,4
What Am I Living For,17KdCKrgfv742PWUWevm1c,George Hamilton Iv,1958,33,0.56,0.488,9,-6.861,1,0.0302,0.834,2.87e-06,0.145,0.696,112.834,156987,1
Johnny B Goode,2XGHdmjsumZRkaL8LhBb1e,Frankie Avalon,1958,60,0.54,0.874,10,-6.099,1,0.0706,0.781,0.000311,0.323,0.968,166.54,161293,4
Summertime Blues,44XGMLszaOWD7k4LsJMcWa,Pat Boone,1958,55,0.756,0.756,4,-10.821,1,0.0433,0.489,0.000175,0.167,0.965,156.484,121067,4
Near You,5GvWrvLIqoHroq7YvO260M,Everly Brothers,1958,54,0.734,0.485,4,-13.865,0,0.0465,0.357,0.00019,0.0401,0.922,95.321,222280,4
Fever,4bPQs0PHn4xbipzdPfn6du,Chantels,1958,74,0.567,0.795,9,-4.985,0,0.134,0.0938,0,0.114,0.596,170.06,187613,4
For Your Love,4hOl2YlgaUIuxCE5bRgU9X,Kathy Linden,1958,57,0.396,0.671,0,-6.953,0,0.0351,0.0984,0,0.0844,0.261,156.072,197320,4
You Are My Destiny,7Kpqjspw4Y7HrvItIRcBiW,Johnny Cash,1958,57,0.653,0.942,8,-3.858,0,0.0609,0.0548,1.06e-06,0.0699,0.885,136.198,222400,4
Chanson D'Amour,2nn7R5ESQhN5MhWcrHFjLi,Olympics,1958,30,0.311,0.199,0,-13.887,0,0.0296,0.82,0.000849,0.144,0.237,83.607,269733,4
Lazy Mary,61XbTTT5vkPP6RWXJSApkV,Roy Hamilton,1958,30,0.743,0.658,10,-8.479,1,0.045,0.266,0,0.17,0.972,121.718,160267,4
Ballad of a Teenage Queen,5HwAaXDLVDgVcoGIjDRANK,Hollywood Flames,1958,36,0.678,0.407,3,-11.037,0,0.055,0.583,0,0.121,0.637,97.957,130827,4
It's Too Soon to Know,1815VwSwTxPTFd9gqIIq6Z,Jerry Lee Lewis,1958,17,0.441,0.248,1,-13.459,1,0.0265,0.634,9.65e-06,0.231,0.432,66.076,162493,4
The Walk,4kbj5MwxO1bq9wjT5g9HaA,Jan and Arnie,1958,82,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,199080,4
Kewpie Doll,1NxUnIcwVXubcxXaxhd6Tl,Royaltones,1958,10,0.792,0.486,2,-10.299,1,0.139,0.931,1.17e-06,0.0992,0.904,141.848,152787,4
Why Don't They Understand,1iXe2sP6XGVetEb2QQlMC2,Marty Robins,1958,6,0.63,0.306,0,-10.192,1,0.0279,0.877,0,0.161,0.471,102.764,137707,4
Dede Dinah,5Xyt4rammXH3LcUuSvOwfo,Frankie Avalon,1958,20,0.53,0.932,7,-5.619,1,0.0386,0.352,0,0.0706,0.969,138.972,132200,4
Sugar Moon,1jEa7Ddfz1ZOFTrGSpV4h2,Frankie Avalon,1958,2,0.819,0.565,8,-6.036,1,0.0582,0.00204,0.00934,0.0932,0.644,110.01,305517,4
Devoted to You,3MVsnY8qG5iNRj4yr2CmVW,Johnny Horton,1959,12,0.621,0.247,9,-13.193,0,0.0329,0.297,0.00591,0.104,0.297,70.378,187228,4
