song,artist,listeners,play count,,
Can't Stop The Feeling!,Justin Timberlake,3368,27165,,
Hello,Adele,289908,2909363,,
Stitches,Shawn Mendes,178325,1466718,,
Mind Reader,Dustin Lynch,6863,30648,,
Fight Song,Rachel Platten,92373,622230,,
Confident,Demi Lovato,87044,737713,,
Dibs,Kelsea Ballerini,8199,43534,,
Roses,The Chainsmokers Featuring Rozes,131780,751581,,
Olivia,One Direction,20472,156797,,
Country Nation,Brad Paisley,7107,28204,,
Don't Hurt Yourself,Beyonce Featuring Jack White,?,?,,
Back Up,DeJ Loaf Featuring Big Sean,23616,88767,,
Oui,Jeremih,38986,160187,,
Should've Been Us,Tori Kelly,4253,40264,,
Traveller,Chris Stapleton,14455,52374,,
Views,Drake,24099,72526,,
Needed Me,Rihanna,95473,739211,,
Think Of You,Chris Young Duet With Cassadee Pope,62,199,,
Life Is Worth Living,Justin Bieber,43711,170618,,
oui,Jeremih,38986,160187,,
Nothin' Like You,Dan + Shay,23,229,,
Let Me Love You,Ariana Grande Featuring Lil Wayne,23383,152202,,
Low Life,Future Featuring The Weeknd,35118,140161,,
Here,Alessia Cara,152906,957094,,
This Is What You Came For,Calvin Harris Featuring Rihanna,72462,322128,,
All The Way Up,Fat Joe & Remy Ma Featuring French Montana,0,0,,
Where Ya At,Future Featuring Drake,41510,180917,,
Mark My Words,Justin Bieber,63570,257732,,
Die A Happy Man,Thomas Rhett,23700,114690,,
Perfect,One Direction,92634,962159,,
Die A Happy Man,Nelly,2724,9624,,
Victorious,Panic! At The Disco,56755,378999,,
Hollow,Tori Kelly,43511,178700,,
Acquainted,The Weeknd,74427,399282,,
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2559,16229,,
Lonesome Broken And Blue,Adam Wakefield,5,17,,
The Christmas Song (Merry Christmas To You),Nat King Cole,168457,443627,,
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,99092,660295,,
Lost Boy,Ruth B,39187,145948,,
Hymn For The Weekend,Coldplay,139172,900881,,
Tell Your Friends,The Weeknd,77635,401916,,
Work,Rihanna Featuring Drake,156613,1196254,,
Planes,Jeremih Featuring J. Cole,38816,141230,,
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,193,1282,,
Uma Thurman,Fall Out Boy,110103,781657,,
Ex's & Oh's,Elle King,0,0,,
New Americana,Halsey,114539,863881,,
Flex (Ooh Ooh Ooh),Rich Homie Quan,3351,9412,,
Big Rings,Drake & Future,?,?,,
Stick Talk,Future,23515,118987,,
679,Fetty Wap Featuring Remy Boyz,2114,10919,,
Company,Justin Bieber,82906,443047,,
Father Stretch My Hands Pt. 1,Kanye West,76152,488341,,
Hallelujah,Lindsey Stirling,2212,6200,,
