title,spotify_id,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
We Went,4kYlMWhSOvrg4U6c0RqgEP,Randy Houser,0.882
Prisoner,?,The Weeknd Featuring Lana Del Rey,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Like I Would,0WEVf4RhIrcr3S3ULBrt0T,Zayn,0.832
Blase,?,Ty Dolla $ign Featuring Future & Rae Sremmurd,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Earned It (Fifty Shades Of Grey),2PIvq1pGrUjY007X5y1UpM,The Weeknd,0.371
Light It Up,?,Major Lazer Featuring Nyla,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Controlla,4CpKEkdGbOJV51cSvx7SoG,Drake,0.477
Go Flex,3e7pB02vXiqVYaDTymYY1t,Post Malone,0.511
Church Bells,67citk3uzWs5qbaIVKTeg8,Carrie Underwood,0.844
Uber Everywhere,7zBPzAjKAqQpcv8F8GCq5s,MadeinTYO,0.455
Change Locations,4gowy3WT6D1yhMLgRBlf9C,Drake & Future,0.338
100,?,The Game Featuring Drake,?,?,?,?,?,?,?,?,?,?,?,?,?,?
My Boo,4i90nIw2MouaJjTyaSgfYG,Ghost Town DJ's,0.996
Jingle Bell Rock,74u8cWJGP8d8xsdD0pFoWg,Bobby Helms,0.368
Body,?,Dreezy Featuring Jeremih,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bang My Head,?,David Guetta Featuring Sia & Fetty Wap,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Gotta Lotta,?,2 Chainz Featuring Lil Wayne,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Weston Road Flows,0P7HlSwSY8mJCWIk4yunb0,Drake,0.742
Ginza,4rrkKXxlsrze8bVEzRaTFV,J Balvin,0.814
Childs Play,0k9RIzZtAo4DTQu0ZM6lNZ,Drake,0.47
Don't,3pXF1nA74528Edde4of9CC,Bryson Tiller,0.356
Blackstar,3Vn9oCZbdI1EMO7jxdz2Rc,David Bowie,0.695
My Church,69guyOwpeKji5OY8wMdsDI,Maren Morris,0.726
She's Kinda Hot,5fsQSDifYpjfbCqvZKPVBj,5 Seconds Of Summer,0.9
Be Alright,6f5TuB9WtbA1g49A4DcMQ4,Ariana Grande,0.464
Still Here,4YJmZfvlheSziXem8HBWrj,Drake,0.436
From The Ground Up,0AdjJ2SaOeb5bPJ67nDbsW,Dan + Shay,0.586
Backroad Song,5ix3mPn7JFsKTVoidu6dBw,Granger Smith,0.833
All Eyes On You,?,Meek Mill Featuring Chris Brown & Nicki Minaj,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Pt. 2,0tCuyg1OikbQ4nIq36n26D,Kanye West,0.734
Downtown,5pfJsMwoRYKampPay8amX0,Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz,0.609
Lean On,4vS8VaBwJJV5Ry7UFIQuoo,Major Lazer & DJ Snake Featuring M0,0.809
Somebody To Love,3RWzLyBUqoBSX4jTAHo4TP,Jordan Smith,0.853
Right Hand,3lSR267IJfT54p0Gfuw7mi,Drake,0.292
Hold Each Other,?,A Great Big World Featuring FUTURISTIC,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Whisper,6EdSZmWCQJfO8T66x9VCID,Chase Rice,0.891
Wicked,6BbINUfGabVyiNFJpQXn3x,Future,0.679
Cool For The Summer,2zFF6jG5hQArbzcXz3KUWk,Demi Lovato,0.614
Blessings,2VQc9orzwE6a5qFfy54P6e,Chance The Rapper,0.343
The Feeling,?,Justin Bieber Featuring Halsey,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hallelujah,3LLYIitFpZSmXY95rQxw0E,Jordan Smith,0.369
I Took A Pill In Ibiza,1MtUq6Wp1eQ8PC6BbPCj8P,Mike Posner,0.725
Alive,05cXQMJcrM9msUYu11mOrs,Sia,0.752
Already Callin' You Mine,57SvK3tVLtYTk076o9qwAV,Parmalee,0.889
Messin' Around,?,Pitbull Featuring Enrique Iglesias,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bottom Of The Bottle,?,Curren$Y Featuring August Alsina & Lil Wayne,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Random,422lAAWQO9TqL1LxIPdhOn,G-Eazy,0.783
Bake Sale,?,Wiz Khalifa Featuring Travi$ Scott,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Temporary Fix,2Xcvt8NRLw0xbB3ClfW8MI,One Direction,0.902
Halo,7DThz7qoNx3WWQJgEipP7W,Jordan Smith,0.443
Let Me See Ya Girl,3y1t2sEahs8idFz2tiYNPO,Cole Swindell,0.834
Panda,275a9yzwGB6ncAW4SxY7q3,Desiigner,0.748
Uptown Funk!,?,Mark Ronson Featuring Bruno Mars,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Smoke Break,46W2wkCzFerbeQbNz3EIaa,Carrie Underwood,0.839
See You Again,4JZ9NUioOgDEVjDuBGukRV,Wiz Khalifa Featuring Charlie Puth,0.638
Come Get Her,1Ser4X0TKttOvo8bgdytTP,Rae Sremmurd,0.563
Save It For A Rainy Day,6wfTb2he5ANMQSFnlamnyi,Kenny Chesney,0.775
Beautiful Drug,0vcfOQOvTCv8ckiRs8Xc1Z,Zac Brown Band,0.857
Jersey,2ACys0pX0SjmpQmQWzp7wt,Future,0.544
Antidote,0KaA33vmmUEY77YD6L3KFi,Travi$ Scott,0.647
Remedy,7kH8BoXL2bRioVky7DZfJ8,Adele,0.0907
Wake Up,6BOtDFg6GJm0rPUDuNmx57,Fetty Wap,0.673
Burning House,4hgrcrkcaHtsdKU35RZyn6,Emily Ann Roberts,0.312
Jumpman,27GmP9AWRs744SzKcpJsTZ,Drake & Future,0.547
American Country Love Song,3eGH1kOyOjq19khdfYg5R7,Jake Owen,0.892
Come And See Me,?,PARTYNEXTDOOR Featuring Drake,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Under Pressure,11IzgLRXV7Cgek3tEgGgjw,Queen & David Bowie,0.707
The Fighter,?,Keith Urban Featuring Carrie Underwood,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hell Of A Night,30wEpY339lJXMEP7gDTypY,Dustin Lynch,0.797
Forward,?,Beyonce Featuring James Blake,?,?,?,?,?,?,?,?,?,?,?,?,?,?
House Party,1TwLKNsCnhi1HxbIi4bAW0,Sam Hunt,0.854
You Don't Own Me,?,Grace Featuring G-Eazy,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Like I'm Gonna Lose You,?,Meghan Trainor Featuring John Legend,?,?,?,?,?,?,?,?,?,?,?,?,?,?
My Way,?,Fetty Wap Featuring Monty,?,?,?,?,?,?,?,?,?,?,?,?,?,?
U With Me?,4MSjMv3kpbLEeyGfIh52qH,Drake,0.414
Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,0.379
Want To Want Me,7oGZAicScQt96OAW4AruYy,Jason Derulo,0.68
I'm The Plug,6bqtKURdSWkInAJHDkuaL0,Drake & Future,0.527
Hold My Hand,1i1rNVtxbE7rdFfpHuNq2j,Jess Glynne,0.823
Kick The Dust Up,7wVeIwUxcUddK44joZ3bPO,Luke Bryan,0.85
Feedback,1JeXMBdxduaLpQnMxN6ezS,Kanye West,0.563
H.O.L.Y.,19PJf5HzeiVW0mdk82Swmn,Florida Georgia Line,0.661
The Hills,7fBv7CLKzipRk6EC6TWHOB,The Weeknd,0.561
Wildest Dreams,6UHn5UWGlvbbmUfczWSmDX,Taylor Swift,0.56
