song,artist,genre
Wonderful World,Sam Cooke,224953,850051
Cherry Pie,Skip and Flip,2635,6653
Pretty Blue Eyes,Steve Lawrence,16492,36626
Footsteps,Steve Lawrence,13282,27843
The Big Hurt,Toni Fisher,3417,8359
"Walk, Dont Run",Ventures,?,?
Take Good Care Of Her,Adam Wade,2595,6784
The Writing On The Wall,Adam Wade,2879,6510
Yellow Bird,Arthur Lyman,6695,16480
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann,?,?
Stand By Me,Ben E. King,498717,2486049
Spanish Harlem,Ben E. King,81659,217449
Mexico,Bob Moore,2933,7193
You Must Have Been A Beautiful Baby,Bobby Darin,13607,41869
One Track Mind,Bobby Lewis,3112,6344
Tossin' And Turnin',Bobby Lewis,19078,52813
Good Time Baby,Bobby Rydell,3529,7211
Take Good Care Of My Baby,Bobby Vee,71128,210986
Rubber Ball,Bobby Vee,51498,136833
You Can Depend On Me,Brenda Lee,7051,16352
Dum Dum,Brenda Lee,11384,27003
Think Twice,Brook Benton,3256,8160
The Boll Weevil Song,Brook Benton,4806,12263
Baby Sittin' Boogie,Buzz Clifford,2790,7700
Those Oldies But Goodies,Caesar and The Romans,4086,11040
There's A Moon Out Tonight,Capris,2010,6005
Gee Whiz (Look At His Eyes),Carla Thomas,25549,52317
I Like It Like That,Chris Kenner,25044,62526
The Fly,Chubby Checker,9918,22962
Let's Twist Again,Chubby Checker,138827,513146
Pony Time,Chubby Checker,17649,41835
Breakin' In A Brand New Broken Heart,Connie Francis,5202,13007
Where The Boys Are,Connie Francis,33120,104865
Pretty Little Angel Eyes,Curtis Lee,35853,109982
Take Five,Dave Brubeck,317003,1305514
Raindrops,Dee Clark,21135,52401
Hats Off To Larry,Del Shannon,41084,120873
Runaway,Del Shannon,270745,1170020
The Mountain's High,Dick and Deedee,3811,13092
Runaround Sue,Dion,124452,462203
Sea Of Heartbreak,Don Gibson,21060,65176
Bristol Stomp,Dovells,9696,29490
Please Stay,Drifters,16555,39449
Baby Blue,Echoes,886,2765
I'm Gonna Knock On Your Door,Eddie Hodges,9049,27775
Are You Lonesome Tonight,Elvis Presley,113722,413422
Surrender,Elvis Presley,142556,482851
Little Sister,Elvis Presley,53594,190189
(Marie's The Name) His Latest Flame,Elvis Presley,83290,324256
Mother-In-Law,Ernie K-Doe,13718,35954
Walk Right Back,Everly Brothers,34084,95150
Hello Walls,Faron Young,35598,95666
Let The Four Winds Blow,Fats Domino,20700,46826
Wings Of A Dove,Ferlin Husky,16386,45431
Exodus,Ferrante and Teicher,3630,12233
On The Rebound,Floyd Cramer,27293,100947
San Antonio Rose,Floyd Cramer,6274,16410
More Money For You And Me Medley,Four Preps,544,1609
The Second Time Around,Frank Sinatra ,?,?
School Is Out,"Gary ""U.S."" Bonds",?,?
Quarter To Three,"Gary ""U.S."" Bonds",?,?
A Hundred Pounds Of Clay,Gene Mcdaniels,4412,13678
Michael,Highwaymen,9565,21175
It's Gonna Work Out Fine,Ike and Tina Turner,20161,43769
Big Bad John,Jimmy Dean,38471,119273
My True Story,Jive Five,11578,37157
Without You,Johnny Tillotson,5438,13595
Apache,Jorgen Ingmann,4083,12994
Asia Minor,Kokomo,1914,5603
Calcutta,Lawrence Welk,6533,19222
Ya Ya,Lee Dorsey,32980,90618
The Way You Look Tonight,Lettermen,8563,21126
Don't Bet Money Honey,Linda Scott,1933,6042
I've Told Every Little Star,Linda Scott,31192,159307
Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight),Lonnie Donegan,187,437
Blue Moon,Marcels,81382,297101
Last Night,Mar-Keys,49619,130251
Don't Worry,Marty Robbins,9144,22394
My Kind Of Girl,Matt Monroe,14636,33654
Shop Around,Miracles,1613,3808
Calendar Girl,Neil Sedaka,31175,95706
I Love How You Love Me,Paris Sisters,25443,81437
Moody River,Pat Boone,17705,46385
I Fall To Pieces,Patsy Cline,124741,403022
"Tonight My Love, Tonight",Paul Anka,?,?
One Mint Julep,Ray Charles,76872,203127
Hit The Road Jack,Ray Charles,584469,2581042
Missing You,Ray Peterson,936,2652
Travelin' Man,Ricky Nelson,38217,96691
Hello Mary Lou,Ricky Nelson,41228,134820
Angel Baby,Rosie and The Originals,17532,73762
Cryin',Roy Orbison,945,7219
Running Scared,Roy Orbison,63415,194267
Daddy's Home,Shep and The Limelites,1110,3109
Will You Love Me Tomorrow,Shirelles,186219,716116
Dedicated To The One I Love,Shirelles,42868,117702
Mama Said,Shirelles,86474,263693
(Up a) Lazy River,Si Zentner,?,?
Portrait Of My Love,Steve Lawrence,21716,47174
Wheels,String-a-longs,5783,17496
Sad Movies (Make Me Cry),Sue Thompson,3296,8828
Hurt,Timi Yuro,24269,67015
Bless You,Tony Orlando,6369,16070
This Time,Troy Shondell,3130,8910
Tuff,Ace Cannon,3685,9721
I Know,Barbara George,2562,6371
You'll Lose A Good Thing,Barbara Lynn,21654,66862
Surfin' Safari,Beach Boys,180454,605968
Alley Cat,Bent Fabric,2189,7114
Percolator (Twist),Billy Joe and The Checkmates,1037,2709
A Swingin' Safari,Billy Vaughn,3142,9669
Things,Bobby Darin,16713,48988
I'll Never Dance Again,Bobby Rydell,2640,5487
Roses Are Red (My Love),Bobby Vinton,21210,56622
Green Onions,Booker T and The MG's,319089,1408564
Break It To Me Gently,Brenda Lee,26447,76741
Everybody Loves Me But You,Brenda Lee,7120,18204
Sealed With A Kiss,Brian Hyland,50840,184055
Hey! Baby,Bruce Channel,31843,99205
Funny Way Of Laughin',Burl Ives,1096,3152
A Little Bitty Tear,Burl Ives,27901,58934
Let's Dance,Chris Montez,53026,170442
Slow Twistin',Chubby Checker,8854,21024
Wolverton Mountain,Claude King,15933,48425
Party Lights,Claudine Clark,9972,31862
"Lover, Please",Clyde Mcphatter,?,?
Don't Break The Heart That Loves You,Connie Francis,11232,30594
Smoky Places,Corsairs,785,1960
Uptown,Crystals,859,2392
Rinky Dink,"Dave ""Baby"" Cortez",1,1
The Stripper,David Rose,22315,62668
Mashed Potato Time,Dee Dee Sharp,18413,52793
Gravy,Dee Dee Sharp,2736,8743
Patches,Dickie Lee,2567,6912
Little Diane,Dion,4278,9441
Lovers Who Wander,Dion,9617,23898
The Wanderer,Dion,93939,302141
What's Your Name,Don and Juan,8406,26127
You Belong To Me,Duprees,2441,6665
"(Girls, Girls, Girls) Were Made To Love",Eddie Hodges,?,?
Can't Help Falling In Love,Elvis Presley,364751,1674395
Good Luck Charm,Elvis Presley,131063,434240
Shout! Shout! (Knock Yourself Out),Ernie Maresca,1343,4773
Crying In The Rain,Everly Brothers,40919,127544
Sherry,Four Seasons,6848,26226
Palisades Park,Freddy Cannon,21993,66824
"Twist, Twist Senora",Gary U.S. Bonds,?,?
Dear Lady Twist,Gary U.S. Bonds,2160,6121
Duke Of Earl,Gene Chandler,66574,220899
Town Without Pity,Gene Pitney,44412,117481
The Man Who Shot Liberty Valance,Gene Pitney,8946,26238
Moon River,Henry Mancini,81779,361966
Cotton Fields,Highwaymen,2983,7267
I'm Blue,Ikettes,5188,13847
Twist And Shout,Isley Brothers,111305,268285
Her Royal Majesty,James Darren,1343,3744
She Cried,Jay and The Americans,11713,28451
Venus In Blue Jeans,Jimmy Clanton,22705,59982
P.T. 109,Jimmy Dean,4474,9610
Walk On The Wild Side,Jimmy Smith,18742,41296
Twistin' Matilda,Jimmy Soul,495,1174
Johnny Get Angry,Joanie Sommers,7144,23824
Snap Your Fingers,Joe Henderson,3390,7660
Shout,Joey Dee,368,1071
Peppermint Twist,Joey Dee and The Starlighters,8981,22872
Cindy's Birthday,Johnny Crawford,1995,5452
It Keeps Right On a-Hurtin',Johnny Tillotson,20021,43840
Midnight In Moscow,Kenny Ball,7622,24511
Love Letters,Ketty Lester,17312,66704
Soul Twist,King Curtis,5760,12482
Where Have All The Flowers Gone,Kingston Trio,24041,69514
Dear One,Larry Finnegan,1551,4172
The Loco-Motion,Little Eva,57873,184854
Playboy,Marvelettes,24933,54462
The One Who Really Loves You,Mary Wells,33525,76469
You Beat Me To The Punch,Mary Wells,62083,140315
Stranger On The Shore,Mr. Acker Bilk,44809,156732
Ramblin' Rose,Nat King Cole,31400,86107
Breaking Up Is Hard To Do,Neil Sedaka,74109,219455
Wah-Watusi,Orlons,595,2015
Speedy Gonzales,Pat Boone,59076,181037
She's Got You,Patsy Cline,64189,220189
Love Me Warm And Tender,Paul Anka,8868,22360
If I Had A Hammer,"Peter, Paul and Mary",?,?
You Don't Know Me,Ray Charles,101092,283921
I Can't Stop Loving You,Ray Charles,161107,478276
Ahab The Arab,Ray Stevens,3073,8136
Theme From Dr. Kildare,Richard Chamberlain,414,839
Young World,Rick Nelson,5207,11247
I Wish That We Were Married,Ronnie and The Hi-lites,130,265
Dream Baby,Roy Orbison,45424,127513
Having A Party,Sam Cooke,82046,273227
Twistin' The Night Away,Sam Cooke,138544,486539
What Kind of Fool Am I,"Sammy Davis, Jr.",?,?
Let Me In,Sensations,1247,3581
Johnny Angel,Shelley Fabares,16383,63399
Soldier Boy,Shirelles,36436,93722
Baby It's You,Shirelles,39811,135544
Desafinado,Stan Getz & Charlie Byrd,?,?
Norman,Sue Thompson,6954,17136
Sheila,Tommy Roe,45619,128723
I Left My Heart in San Francisco,Tony Bennett,107609,260217
Old Rivers,Walter Brennan,1579,4228
I Love You Because,Al Martino,13874,25841
"Painted, Tainted Rose",Al Martino,?,?
"Hello Muddah, Hello Fadduh! (A Letter From Camp)",Allan Sherman,?,?
Can't Get Used To Losing You,Andy Williams,43148,118006
My Boyfriend's Back,Angels,5869,20527
"Hello, Stranger",Barbara Lewis,?,?
Happy Days Are Here Again,Barbra Streisand,14684,42140
Surfer Girl,Beach Boys,177311,608736
Shut Down,Beach Boys,89255,280278
Surfin' U.S.A.,Beach Boys,200365,696486
Still,Bill Anderson,14772,39755
Our Winter Love,Bill Pursell,5068,16254
500 Miles Away From Home,Bobby Bare,21673,59566
You're The Reason I'm Living,Bobby Darin,9907,20845
The Night Has A Thousand Eyes,Bobby Vee,48280,127410
Blue Velvet,Bobby Vinton,105973,407074
Blue On Blue,Bobby Vinton,26229,76129
