Duke Of Earl,Gene Chandler,4242
Town Without Pity,Gene Pitney,9005
The Man Who Shot Liberty Valance,Gene Pitney,9005
Moon River,Henry Mancini,33598
Cotton Fields,Highwaymen,26578
I'm Blue,Ikettes,537
Twist And Shout,Isley Brothers,131712
Her Royal Majesty,James Darren,1060
She Cried,Jay and The Americans,2542
Venus In Blue Jeans,Jimmy Clanton,522
P.T. 109,Jimmy Dean,3433
Walk On The Wild Side,Jimmy Smith,16179
Twistin' Matilda,Jimmy Soul,1335
Johnny Get Angry,Joanie Sommers,342
Snap Your Fingers,Joe Henderson,9086
Shout,Joey Dee,543
Peppermint Twist,Joey Dee and The Starlighters,?
Cindy's Birthday,Johnny Crawford,388
It Keeps Right On a-Hurtin',Johnny Tillotson,4199
Midnight In Moscow,Kenny Ball,1412
Love Letters,Ketty Lester,781
Soul Twist,King Curtis,11
Where Have All The Flowers Gone,Kingston Trio,7964
Dear One,Larry Finnegan,678
The Loco-Motion,Little Eva,3998
Playboy,Marvelettes,15808
The One Who Really Loves You,Mary Wells,16204
You Beat Me To The Punch,Mary Wells,16204
Stranger On The Shore,Mr. Acker Bilk,6459
Ramblin' Rose,Nat King Cole,228615
Breaking Up Is Hard To Do,Neil Sedaka,24110
Wah-Watusi,Orlons,795
Speedy Gonzales,Pat Boone,15533
She's Got You,Patsy Cline,89744
Love Me Warm And Tender,Paul Anka,40176
If I Had A Hammer,"Peter, Paul and Mary",38981
You Don't Know Me,Ray Charles,377439
I Can't Stop Loving You,Ray Charles,377439
Ahab The Arab,Ray Stevens,9129
Theme From Dr. Kildare,Richard Chamberlain,192
Young World,Rick Nelson,284
I Wish That We Were Married,Ronnie and The Hi-lites,8
Dream Baby,Roy Orbison,145877
Having A Party,Sam Cooke,208616
Twistin' The Night Away,Sam Cooke,208616
What Kind of Fool Am I,"Sammy Davis, Jr.",38282
Let Me In,Sensations,1587
Johnny Angel,Shelley Fabares,632
Soldier Boy,Shirelles,17256
Baby It's You,Shirelles,17256
Desafinado,Stan Getz & Charlie Byrd,99303
Norman,Sue Thompson,751
Sheila,Tommy Roe,3273
I Left My Heart in San Francisco,Tony Bennett,131224
Old Rivers,Walter Brennan,312
I Love You Because,Al Martino,4334
"Painted, Tainted Rose",Al Martino,4334
"Hello Muddah, Hello Fadduh! (A Letter From Camp)",Allan Sherman,1521
Can't Get Used To Losing You,Andy Williams,54150
My Boyfriend's Back,Angels,115135
"Hello, Stranger",Barbara Lewis,2682
Happy Days Are Here Again,Barbra Streisand,126879
Surfer Girl,Beach Boys,509219
Shut Down,Beach Boys,509219
Surfin' U.S.A.,Beach Boys,509219
Still,Bill Anderson,1777
Our Winter Love,Bill Pursell,41
500 Miles Away From Home,Bobby Bare,12391
You're The Reason I'm Living,Bobby Darin,39930
The Night Has A Thousand Eyes,Bobby Vee,11623
Blue Velvet,Bobby Vinton,14414
Blue On Blue,Bobby Vinton,14414
Losing You,Brenda Lee,27192
Rhythm Of The Rain,Cascades,3722
Pipeline,Chantays,1374
One Fine Day,Chiffons,6967
He's So Fine,Chiffons,6967
Don't Say Nothin' Bad About My Baby,Cookies,1526
Da Doo Ron Ron,Crystals,16366
Then He Kissed Me,Crystals,16366
I'm Leaving It Up To You,Dale and Grace,233
Little Town Flirt,Del Shannon,16723
Ruby Baby,Dion,622867
"Donna, The Prima Donna",Dion,622867
Just One Look,Doris Troy,1766
You Can't Sit Down,Dovells,383
Up On The Roof,Drifters,48618
Bossa Nova Baby,Elvis Presley,1088162
(You're The) Devil In Disguise,Elvis Presley,1088162
Easier Said Than Done,Essex,5176
Blame It On The Bossa Nova,Eydie Gorme,7053
Candy Girl,Four Seasons,94580
Walk Like A Man,Four Seasons,94580
Cry Baby,Garnet Mimms and The Enchanters,824
Days Of Wine And Roses,Henry Mancini,33598
It's All Right,Impressions,13540
Mockingbird,Inez Foxx,101
Wives and Lovers,Jack Jones,3805
Baby Workout,Jackie Wilson,28752
Surf City,Jan and Dean,4589
Mama Didn't Lie,Jan Bradley,107
Sally Go 'Round The Roses,Jaynetts,193
Sugar Shack,Jimmy Gilmer and The Fireballs,21
If You Wanna Be Happy,Jimmy Soul,1335
Ring Of Fire,Johnny Cash,1115009
What Will My Mary Say,Johnny Mathis,28022
More,Kai Winding,857
Sukiyaki,Kyu Sakamoto,1950
She's A Fool,Lesley Gore,10752
It's My Party,Lesley Gore,10752
Judy's Turn To Cry,Lesley Gore,10752
I Will Follow Him,Little Peggy March,874
Fingertips II,Little Stevie Wonder,737153
Memphis,Lonnie Mack,2379
Maria Elena,Los Indios Tabajaras,5776
Two Faces Have I,Lou Christie,1842
The Monkey Time,Major Lance,1569
Heat Wave,Martha and The Vandellas,20220
Come And Get These Memories,Martha and The Vandellas,20220
Pride And Joy,Marvin Gaye,548678
You've Really Got A Hold On Me,Miracles,60855
Mickey's Monkey,Miracles,60855
"That Sunday, That Summer",Nat King Cole,228615
Those Lazy Hazy Crazy Days Of Summer,Nat King Cole,228615
From A Jack To A King,Ned Miller,582
Deep Purple,Nino Tempo and April Stevens,293
South Street,Orlons,795
Hey Paula,Paul and Paula,1029
Puff (The Magic Dragon),"Peter, Paul and Mary",38981
Blowin' In The Wind,"Peter, Paul and Mary",38981
Denise,Randy and The Rainbows,346
Take These Chains From My Heart,Ray Charles,377439
Busted,Ray Charles,377439
Wild Weekend,Rebels,0
Fools Rush In,Rick Nelson,284
