song_title,spotify_id,artist,year,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,word_count,reading_ease,polarity,subjectivity,followers,listeners,play_count,is_winner,is_nominee,winner_score,weight
Sugartime,6qto5NKDYXhU83R1gL59CL,McGuire Sisters,1958,20,oldies,0.633,0.514,0,-9.762,1,0.0404,0.663,0,0.478,0.882,96.345,153240,4,250,79.26,0.202124506,0.504347826,1376,1153,3031,0,0,0,{2.23907E-05}
March From the River Kwai and Colonel Bogey March,4NYFLbJjGX0tExZ8ySt2pz,Mitch Miller,1958,21,instrumental,0.593,0.593,0,-9.365,1,0.0272,0.752,0.768,0.376,0.843,108.906,143867,4,2,?,0,0,952,7,11,0,0,0,{2.23907E-05}
Book Of Love,1N131UBLlYAUJNVpHOfEc1,Monotones,1958,45,oldies,0.428,0.594,10,-12.716,1,0.379,0.734,0,0.567,0.574,198.67,138298,4,206,91.78,0.446666667,0.566666667,1073,36566,111653,0,0,0,{2.23907E-05}
Looking Back,1EKaxPuCNyvEX4kZs5pcdK,Nat King Cole,1958,21,jazz,0.595,0.143,3,-22.262,1,0.0343,0.962,0.000882,0.114,0.351,93.416,146373,4,102,89.75,0.044444444,0.308333333,228615,16247,40824,0,0,0,{2.23907E-05}
Western Movies,0WUdKQSHjrM8qQYXx2ORRO,Olympics,1958,25,oldies,0.706,0.503,7,-8.536,1,0.0619,0.685,7.30E-05,0.58,0.533,121.78,141177,4,208,89.75,0.018295739,0.152005013,363,1436,4069,0,0,0,{2.23907E-05}
Its Too Soon To Know,1nvrxMqBE6sFwtFJyRusmp,Pat Boone,1958,8,oldies,0.414,0.0451,10,-18.439,1,0.0541,0.862,3.39E-05,0.0879,0.279,185.466,155400,3,135,116.15,0.227272727,0.4,15533,1913,4100,0,0,0,{2.23907E-05}
Sugar Moon,3Tp8lhRZZG8dtmHP1QiIrS,Pat Boone,1958,6,oldies,0.462,0.105,10,-16.753,1,0.0277,0.957,0.00725,0.142,0.337,70.795,115200,4,56,101.26,0.238888889,0.447777778,15533,2643,5441,0,0,0,{2.23907E-05}
April Love,4CTUNh2gzEKQgliqXUZvwP,Pat Boone,1958,23,oldies,0.269,0.186,8,-14.828,1,0.0361,0.847,0.02,0.0796,0.409,88.042,161200,1,103,86.71,0.251160714,0.513174603,15533,18926,44221,0,0,0,{2.23907E-05}
Wonderful Time Up There,3gayMSeVBMhKoVoaukUvqx,Pat Boone,1958,17,oldies,0.784,0.443,8,-13.99,1,0.0486,0.759,3.19E-05,0.0889,0.96,95.97,127427,4,354,64.37,0.433247863,0.61034188,15533,155,441,0,0,0,{2.23907E-05}
You Are My Destiny,36Jxpbk3PlcDo9hSGiAsfU,Paul Anka,1958,40,oldies,0.38,0.336,8,-8.949,1,0.0276,0.677,0,0.266,0.575,79.578,147400,4,104,74.86,0.516666667,0.466666667,40176,28449,92235,0,0,0,{2.23907E-05}
Fever,4Ke1CYcm2wYDFlOhziFFjK,Peggy Lee,1958,56,jazz,0.833,0.0756,4,-20.822,0,0.147,0.314,0,0.111,0.347,136.007,202693,4,276,99.23,0.147713745,0.537489177,49547,307962,1026843,0,1,0.2,{2.23907E-05}
Patricia,4jmFSkpcqLOUN6scGU6BOO,Perez Prado,1958,38,latin,0.541,0.676,0,-7.988,1,0.135,0.188,0.803,0.123,0.928,76.231,128360,4,146,88.74,0.22,0.52,11646,17638,51626,0,0,0,{2.23907E-05}
Catch A Falling Star,1pBJCt9keWDrIQYu51T6py,Perry Como,1958,36,oldies,0.7,0.189,7,-15.412,1,0.0795,0.798,0,0.136,0.598,119.522,149093,4,230,95.17,0.477777778,0.677777778,25662,71163,186711,0,1,0.2,{2.23907E-05}
Magic Moments,165n9dxHacuguzneup0HXQ,Perry Como,1958,46,oldies,0.499,0.273,0,-14.577,0,0.0544,0.865,2.11E-06,0.319,0.713,156.081,160867,3,166,76.22,0.406746032,0.813492063,25662,152728,473429,0,0,0,{2.23907E-05}
Kewpie Doll,1NxUnIcwVXubcxXaxhd6Tl,Perry Como,1958,10,oldies,0.792,0.486,2,-10.299,1,0.139,0.931,1.17E-06,0.0992,0.904,141.848,152787,4,331,103.63,0.156807134,0.506284722,25662,2821,7392,0,0,0,{2.23907E-05}
Twilight Time,6qsRKJJHLGSCPsdt2jEs2t,Platters,1958,39,oldies,0.482,0.323,9,-13.569,1,0.0453,0.753,0,0.315,0.355,115.215,165373,3,251,86.71,0.127272727,0.309848485,53630,46249,150922,0,0,0,{2.23907E-05}
Born Too Late,1UCSoUk65bi1N0cdfxMGL2,Poni Tails,1958,20,oldies,0.501,0.516,4,-3.652,1,0.0256,0.511,0.0505,0.086,0.859,84.984,137326,4,166,107.69,-0.146428571,0.571428571,245,8176,26532,0,0,0,{2.23907E-05}
Lonesome Town,6FDSdTU9gbHzfiV81vhsko,Rick Nelson,1958,2,oldies,0.491,0.148,9,-13.903,1,0.0317,0.917,0.00759,0.116,0.18,108.977,131827,1,103,91.78,-0.097474747,0.442929293,284,57166,165435,0,0,0,{2.23907E-05}
Poor Little Fool,33FPsMEl3UwpytDuyf9VYq,Ricky Nelson,1958,42,oldies,0.549,0.336,0,-11.669,1,0.029,0.652,0,0.134,0.79,154.958,153933,4,1,?,0,0,28829,50095,126063,0,0,0,{2.23907E-05}
Waitin In School,26Ci4lHSoWv8mj2zq3IAl7,Ricky Nelson,1958,33,oldies,0.562,0.646,11,-10.014,1,0.0509,0.053,0,0.0411,0.854,103.052,122760,4,1,?,0,0,28829,13491,30210,0,0,0,{2.23907E-05}
Stood Up,47I1eN5U4HCsP6MhIaIojM,Ricky Nelson,1958,31,oldies,0.639,0.573,9,-10.443,1,0.0326,0.107,4.89E-06,0.224,0.945,91.382,112733,4,122,72.83,0.034545455,0.361818182,28829,29012,64524,0,0,0,{2.23907E-05}
I Got a Feeling,2byqYLWfE9ZljbQ9v6yRfX,Ricky Nelson,1958,22,oldies,0.661,0.682,9,-8.339,1,0.0311,0.399,4.85E-06,0.0822,0.966,86.371,125440,4,206,107.69,0.29673913,0.515217391,28829,9294,19907,0,0,0,{2.23907E-05}
Susie Darlin,5jwHxTaojTcGP4akPegt5J,Robin Luke,1958,16,oldies,0.716,0.384,9,-10.177,1,0.0324,0.75,3.47E-06,0.609,0.786,122.457,153111,4,194,100.24,0.218421053,0.5,115,4683,12324,0,0,0,{2.23907E-05}
Near You,0EEvZsgmGsNrxabexYNiBa,Roger Williams,1958,6,instrumental,0.718,0.187,2,-13.456,1,0.0364,0.583,0.557,0.0782,0.503,61.544,166013,4,2,?,0,0,1594,3452,8316,0,0,0,{2.23907E-05}
Dont Let Go,3JQLM7sS9dfHN5d63Fw2b0,Roy Hamilton,1958,35,oldies,0.71,0.613,8,-11.386,1,0.0782,0.806,0.000603,0.158,0.9,99.237,154973,4,318,107.69,0.134722222,0.431944444,926,9689,24488,0,0,0,{2.23907E-05}
Short Shorts,0eKNFqPx0ZzmMOSYMMXDE5,Royal Teens,1958,42,oldies,0.651,0.917,5,-8.98,1,0.0665,0.857,0.177,0.531,0.816,127.119,134920,4,79,116.15,-0.027272727,0.354545455,44,2903,7772,0,0,0,{2.23907E-05}
Poor Boy,1WVRUZn53ozgLLJF2CKp3y,Royaltones,1958,4,instrumental,0.466,0.892,4,-5.208,0,0.0583,0.926,0.552,0.2,0.764,76.606,134067,4,2,?,0,0,48,1200,2852,0,0,0,{2.23907E-05}
The Purple People Eater,65v6ebRKjyZH15MmF8AT3X,Sheb Wooley,1958,21,oldies,0.607,0.661,9,-4.777,1,0.107,0.842,0,0.371,0.947,157.966,134467,4,307,88.74,0.091600529,0.438095238,1305,23905,60642,0,0,0,{2.23907E-05}
Get A Job,21NhrNOfIoakyWISXUMkFN,Silhouettes,1958,40,oldies,0.625,0.425,7,-9.962,1,0.0359,0.652,0.000525,0.124,0.824,80.024,169707,4,278,115.13,0.064285714,0.389285714,550,4483,11645,0,0,0,{2.23907E-05}
